name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
Sigma+,3222,+,1189.3700000000001,0.06999999999999999,8.209000000000001e-12,2.7000000000000002e-14,1,2328,1189.6055465207999,0.01980430991194868,2^3 · 3^1 · 97,97,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma0,3212,0,1192.642,0.024,0.0089,0.0009,0,2334,1192.6715401974,0.0024768704607007414,2^1 · 3^1 · 389,389,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma-,3112,-,1197.449,0.029,4.45e-12,3.2e-14,1,2343,1197.2705307123,0.014904124325978112,2^0 · 3^1 · 781,781,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1385)-,3114,-,1387.2,0.5,39.4,2.1,0,2715,1387.3621386614998,0.011688196474894686,2^0 · 3^1 · 905,905,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1385)0,3214,0,1383.8,0.9,44.0,8.0,0,2708,1383.7851460388,0.0010734182107284608,2^2 · 3^0 · 677,677,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1385)+,3224,+,1382.83,0.34,36.2,0.7,0,2706,1382.7631481465999,0.004834423132277057,2^1 · 3^1 · 451,451,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1660)-,13112,-,1660.0,20.0,200.0,100.0,0,3249,1660.2355758789,0.014191318006018569,2^0 · 3^2 · 361,361,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1660)0,13212,0,1660.0,20.0,200.0,100.0,0,3249,1660.2355758789,0.014191318006018569,2^0 · 3^2 · 361,361,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1660)+,13222,+,1660.0,20.0,200.0,100.0,0,3249,1660.2355758789,0.014191318006018569,2^0 · 3^2 · 361,361,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1670)-,13114,-,1675.0,10.0,70.0,30.0,0,3278,1675.0545453158,0.003256436764175631,2^1 · 3^0 · 1639,1639,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1670)0,13214,0,1675.0,10.0,70.0,30.0,0,3278,1675.0545453158,0.003256436764175631,2^1 · 3^0 · 1639,1639,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1670)+,13224,+,1675.0,10.0,70.0,30.0,0,3278,1675.0545453158,0.003256436764175631,2^1 · 3^0 · 1639,1639,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1750)-,23112,-,1750.0,50.0,150.0,50.0,0,3425,1750.1713903925,0.009793736714280904,3425,3425,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1750)0,23212,0,1750.0,50.0,150.0,50.0,0,3425,1750.1713903925,0.009793736714280904,3425,3425,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1750)+,23222,+,1750.0,50.0,150.0,50.0,0,3425,1750.1713903925,0.009793736714280904,3425,3425,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1775)-,3116,-,1775.0,5.0,120.0,15.0,0,3474,1775.2103387513998,0.011850070501398951,2^1 · 3^2 · 193,193,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1775)0,3216,0,1775.0,5.0,120.0,15.0,0,3474,1775.2103387513998,0.011850070501398951,2^1 · 3^2 · 193,193,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1775)+,3226,+,1775.0,5.0,120.0,15.0,0,3474,1775.2103387513998,0.011850070501398951,2^1 · 3^2 · 193,193,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1910)-,23114,-,1910.0,40.0,220.0,80.0,0,3738,1910.1140605218,0.005971755068060545,2^1 · 3^1 · 623,623,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1910)0,23214,0,1910.0,40.0,220.0,80.0,0,3738,1910.1140605218,0.005971755068060545,2^1 · 3^1 · 623,623,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
